n_ann,minority,delta,rep,method,stat,pvalue,detected
80,0.5,0.0,0,apunim,-0.014556287034296086,0.4610789377594803,0
80,0.5,0.0,0,Krippendorff delta-alpha,0.0015908319096045176,0.13930348258706468,0
80,0.5,0.0,0,aposteriori unimodality (2024),0.006172839506172839,0.5742574257425742,0
80,0.5,0.0,0,chi-squared (Akhtar et al. 2019),5.594852088254533,0.23151686347757283,0
80,0.5,0.0,0,GMM clustering (Checco/Mignemi),0.010094859633380335,0.2537313432835821,0
80,0.5,0.0,1,apunim,-0.016019985488060943,0.2736738368225813,0
80,0.5,0.0,1,Krippendorff delta-alpha,0.0021953938340848467,0.06467661691542288,0
80,0.5,0.0,1,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,1,chi-squared (Akhtar et al. 2019),3.3651699285390437,0.498673305663078,0
80,0.5,0.0,1,GMM clustering (Checco/Mignemi),0.018267913371631854,0.23383084577114427,0
80,0.5,0.0,2,apunim,-0.020582484508992558,0.040447010227661805,1
80,0.5,0.0,2,Krippendorff delta-alpha,0.00022017501580368082,0.43283582089552236,0
80,0.5,0.0,2,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,2,chi-squared (Akhtar et al. 2019),0.5728542253380641,0.9660319052964517,0
80,0.5,0.0,2,GMM clustering (Checco/Mignemi),-0.011530977490571024,1.0,0
80,0.5,0.0,3,apunim,-0.017735039083094355,0.13149126098966615,0
80,0.5,0.0,3,Krippendorff delta-alpha,0.0011421010823720046,0.12935323383084577,0
80,0.5,0.0,3,aposteriori unimodality (2024),0.005988023952095809,0.3465346534653465,0
80,0.5,0.0,3,chi-squared (Akhtar et al. 2019),1.8209385368452276,0.7686493722869692,0
80,0.5,0.0,3,GMM clustering (Checco/Mignemi),-0.012179389588224454,1.0,0
80,0.5,0.0,4,apunim,0.02027300852391231,0.037759516244556604,1
80,0.5,0.0,4,Krippendorff delta-alpha,0.0015517292817232575,0.0845771144278607,0
80,0.5,0.0,4,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,4,chi-squared (Akhtar et al. 2019),1.9908798366419207,0.7374364368154304,0
80,0.5,0.0,4,GMM clustering (Checco/Mignemi),0.018267913371631854,0.1791044776119403,0
80,0.5,0.0,5,apunim,0.004566724368620848,1.0,0
80,0.5,0.0,5,Krippendorff delta-alpha,-0.00015164978304604837,0.5621890547263682,0
80,0.5,0.0,5,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,5,chi-squared (Akhtar et al. 2019),0.7816480797083512,0.9408913259096022,0
80,0.5,0.0,5,GMM clustering (Checco/Mignemi),0.013130990415335463,0.18407960199004975,0
80,0.5,0.0,6,apunim,0.032628109784712936,0.0005543227469931124,1
80,0.5,0.0,6,Krippendorff delta-alpha,0.00027473828748680873,0.43781094527363185,0
80,0.5,0.0,6,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,6,chi-squared (Akhtar et al. 2019),6.3217838128240516,0.17637154560062912,0
80,0.5,0.0,6,GMM clustering (Checco/Mignemi),0.010094859633380335,0.29850746268656714,0
80,0.5,0.0,7,apunim,0.02444598113621152,0.019581232957403664,1
80,0.5,0.0,7,Krippendorff delta-alpha,-0.001324336055522235,0.8507462686567164,0
80,0.5,0.0,7,aposteriori unimodality (2024),0.012121212121212121,0.1782178217821782,0
80,0.5,0.0,7,chi-squared (Akhtar et al. 2019),7.288637887620889,0.12139880988619522,0
80,0.5,0.0,7,GMM clustering (Checco/Mignemi),0.027816946545314702,0.11442786069651742,0
80,0.5,0.0,8,apunim,0.036163163780406654,0.00012700555596255604,1
80,0.5,0.0,8,Krippendorff delta-alpha,-0.0007104583782691631,0.6666666666666666,0
80,0.5,0.0,8,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,8,chi-squared (Akhtar et al. 2019),2.2122873858309244,0.6967803520268728,0
80,0.5,0.0,8,GMM clustering (Checco/Mignemi),-0.006470159591931519,0.6467661691542289,0
80,0.5,0.0,9,apunim,0.016295052942261672,0.2305111577325101,0
80,0.5,0.0,9,Krippendorff delta-alpha,-0.001443835183005726,0.945273631840796,0
80,0.5,0.0,9,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,9,chi-squared (Akhtar et al. 2019),3.6727434858083976,0.4521026320730811,0
80,0.5,0.0,9,GMM clustering (Checco/Mignemi),-0.010365926814637072,1.0,0
80,0.5,0.0,10,apunim,-0.014343711540193774,0.3296643706620542,0
80,0.5,0.0,10,Krippendorff delta-alpha,0.0028952319326483456,0.004975124378109453,1
80,0.5,0.0,10,aposteriori unimodality (2024),0.0058823529411764705,0.6039603960396039,0
80,0.5,0.0,10,chi-squared (Akhtar et al. 2019),6.209070835517779,0.18406931948609045,0
80,0.5,0.0,10,GMM clustering (Checco/Mignemi),0.009999679497452004,0.27860696517412936,0
80,0.5,0.0,11,apunim,-0.004654672805933987,1.0,0
80,0.5,0.0,11,Krippendorff delta-alpha,0.00036289252725091314,0.44776119402985076,0
80,0.5,0.0,11,aposteriori unimodality (2024),0.006211180124223602,0.5643564356435643,0
80,0.5,0.0,11,chi-squared (Akhtar et al. 2019),3.8801137177873706,0.4224737611204531,0
80,0.5,0.0,11,GMM clustering (Checco/Mignemi),-0.0061478854636130035,0.7064676616915423,0
80,0.5,0.0,12,apunim,0.025578543419185494,0.008064520386513995,1
80,0.5,0.0,12,Krippendorff delta-alpha,-0.001420842071695405,0.8557213930348259,0
80,0.5,0.0,12,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,12,chi-squared (Akhtar et al. 2019),2.183045505984929,0.7021344547170946,0
80,0.5,0.0,12,GMM clustering (Checco/Mignemi),-0.0073639580477541525,1.0,0
80,0.5,0.0,13,apunim,0.01113520602919193,0.8707662699131686,0
80,0.5,0.0,13,Krippendorff delta-alpha,0.0004336062827474674,0.40298507462686567,0
80,0.5,0.0,13,aposteriori unimodality (2024),0.006329113924050633,0.5247524752475248,0
80,0.5,0.0,13,chi-squared (Akhtar et al. 2019),5.727857178420961,0.2204147777906748,0
